time	vout
2.57406249999998993E-9	1.44240753797327570E-2
2.57927083333332341E-9	1.45756761186759443E-2
2.58447916666665600E-9	1.42909834919549938E-2
2.58968749999998948E-9	1.25277865212774819E-2
2.59489583333332252E-9	1.05977878975527440E-2
2.60010416666665689E-9	8.56694196982622813E-3
2.60531249999998948E-9	6.50413470778658986E-3
2.61052083333332297E-9	4.18491650603923482E-3
2.61572916666665556E-9	1.36882122726899591E-3
2.62093749999998904E-9	5.34752489075014203E-6
2.62614583333332208E-9	-9.27684931995067963E-4
2.63135416666665511E-9	-1.80402073233455251E-3
2.63656249999998815E-9	-2.71048535493616960E-3
2.64177083333332119E-9	-3.57027847427974665E-3
2.64697916666665467E-9	-3.90896815339318326E-3
2.65218749999998726E-9	-4.12369911510673326E-3
2.65739583333332074E-9	-4.34147359689569434E-3
2.66260416666665467E-9	-4.59949214871135137E-3
2.66781249999998771E-9	-4.43553070869788701E-3
2.67302083333332074E-9	-2.84526087004314476E-3
2.67822916666665378E-9	-1.17461719964947431E-3
2.68343749999998682E-9	5.33703255385389141E-4
2.68864583333332074E-9	2.28362101121636130E-3
2.69385416666665334E-9	4.35491672337422209E-3
2.69906249999998682E-9	7.02324558411613609E-3
2.70427083333331941E-9	8.38363194982473381E-3
2.70947916666665289E-9	9.38047767541373467E-3
2.71468749999998549E-9	1.03770789892200521E-2
2.71989583333331941E-9	1.14555714275552267E-2
2.72510416666665245E-9	1.24921367573454645E-2
2.73031249999998504E-9	1.29202488156012407E-2
2.73552083333331852E-9	1.31418720616582263E-2
2.74072916666665156E-9	1.32745300917728981E-2
2.74593749999998504E-9	1.34418830513433729E-2
2.75114583333331808E-9	1.35685876599161115E-2
2.75635416666665112E-9	1.35897930449274451E-2
2.76156249999998415E-9	1.35044071342613048E-2
2.76677083333331808E-9	1.33786156063372230E-2
2.77197916666665023E-9	1.33621983947335643E-2
2.77718749999998415E-9	1.33370940777699332E-2
2.78239583333331719E-9	1.32784895164569394E-2
2.78760416666665067E-9	1.31988134149184955E-2
2.79281249999998327E-9	1.31620252146436556E-2
2.79802083333331675E-9	1.32099707910191544E-2
2.80322916666665023E-9	1.32292627226488602E-2
2.80843749999998327E-9	1.31814634967343824E-2
2.81364583333331586E-9	1.30383542875824832E-2
2.81885416666664890E-9	1.29120582244381032E-2
2.82406249999998327E-9	1.28630046798345044E-2
2.82927083333331542E-9	1.27434030647601859E-2
2.83447916666664845E-9	1.22738189707850021E-2
2.83968749999998238E-9	1.06301560537046336E-2
2.84489583333331542E-9	9.11884375209944587E-3
2.85010416666664845E-9	7.66349972309750882E-3
2.85531249999998193E-9	6.07979261603437493E-3
2.86052083333331453E-9	4.13683861706838663E-3
2.86572916666664801E-9	1.52988882454304331E-3
2.87093749999998105E-9	1.63924763766377612E-4
2.87614583333331497E-9	-8.95543290687592730E-4
2.88135416666664756E-9	-2.01855272653650974E-3
2.88656249999998105E-9	-3.15691172141245024E-3
2.89177083333331364E-9	-4.09298632001318907E-3
2.89697916666664712E-9	-4.17942528140902780E-3
2.90218749999998016E-9	-4.06581720054642748E-3
2.90739583333331275E-9	-3.97496802028254770E-3
2.91260416666664579E-9	-3.84658855168960301E-3
2.91781249999997971E-9	-3.38421258504758349E-3
2.92302083333331231E-9	-1.76399268076401095E-3
2.92822916666664579E-9	-2.43461960137353950E-4
2.93343749999997971E-9	1.19768799070566234E-3
2.93864583333331275E-9	2.57093899310713514E-3
2.94385416666664579E-9	4.26233772372915709E-3
2.94906249999997794E-9	6.59745499180464012E-3
2.95427083333331186E-9	7.75022889020712125E-3
2.95947916666664490E-9	8.58685469294403347E-3
2.96468749999997794E-9	9.43779088604838634E-3
